Average of Min and Max,Firstdayeachmonth,Company + Product,Company + Variation,Secured PL,productcount,Extrarepaypoints,dailyrepaypoints,weeklyrepaypoints,Monthlyrepaypoints,fortnightlyrepaypoints,Quarterlyrepaypoints,redrawfacilitypoints,redrawactivationfeepenalty,Unsecuredpoints,earlyexitfeepenalty,totalpoints,norepaymentlimitpoints,Past Year Filter (In Progress),variationidtemp,average_rate,Initial_Repayment,balance_outstanding,Repayment,fees,Total_Cost,Personal/Car Loan Bucketing,Number of Records,Car Loan,Unsecured PL,Adminnotes,applicationfeesdollar (custom sql query1),Applicationfeesdollar,applicationfeespercent (custom sql query1),Applicationfeespercent,collectiondate (custom sql query1),Collectiondate,Companycode,Companyid,Companyname,comparisonratecar,comparisonratepersonal,description (custom sql query1),Description,Docreleasefees,Earlyexitpenaltyfee,Earlyexitpenaltyfeeperiod,Encumbrancecheckfees,extrarepaymentdollarlimits,extrarepaymentdollarlimitsperiod,filename (custom sql query1),filename,Hasearlyexitpenalty,Hasearlyexitpenaltyfeesvaries,Hasredrawfacility,introrate,introterm,Isboatallowed,Iscarloan,Iscontractemploymentaccepted,Isdebtconsolidationallowed,Isdiscontinued,Isextrarepaymentsallowed,Isfulltimeemploymentaccepted,Isfullydrawnadvance,Isholidaysallowed,Islineofcredit,Ismedicalbillallowed,Ismotorcycleallowed,Isnewcarallowed,Isparttimeemploymentaccepted,Ispersonalloan,Isrcspecial,Isrenovationallowed,Isrestrictedtocurrenthlcustomer,Issecuredbydeposit,Issecuredbyproperty,Issecuredbyvehicle,Isselfemploymentaccepted,Issharesallowed,Isspecial,Isstudentallowed,Isusedcarallowed,Isweddingallowed,maxloanamount,maxloanterm,Maxrate,Minimumincome,Minimumyearsaddress,minloanamount,minloanterm,Minrate,Minredrawamount,Missedpaymentpenalty,Ongoingfees,Ongoingfeesfrequency,Otherbenefits,Otherfees,Otherpurposes,Otherrestrictions,productid (custom sql query1),Productid,Redrawactivationfee,Repaymentfreq,Repaymenttype,Securedbyothers,Securedtype,Specialconditions,uuid (custom sql query1),Uuid,variationid
17.395,False,360 Finance - 581ff6caa949c9659bf95ae3,360 Finance - Advantage Car Loan,,1,5,0,0.5,0.5,0,0,0,0,0,-3,6,5,3,360 Finance - bad4bd19-2845-48fb-b775-65ad044f1594 - 12 to 84,17.395,751.963763788,,45117.825827256,360,45477.825827256,CnotP,1,,,,,407,,0,19/03/2018,19/03/2018,THRE,01b4f2fb-d98b-43a4-b93e-29d69b2fdc9e,360 Finance,5.8,,Advantage Car Loan,Advantage Car Loan,0,800,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,NO,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,NO,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,YES,NO,99999999,84,29.99,0,0,30000,12,4.8,0,30,6,Monthly,,0,,,581ff6caa949c96,581ff6caa949c9659bf95ae3,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,SECURED,,bad4bd19-2845-48fb-b775-65ad044f1594,bad4bd19-2845-48fb-b775-65ad044f1594,510037
10.99,False,ANZ - 581ff6cba949c9659bf95ae7,ANZ - Personal Loan Fixed,,1,5,0,0.5,0.5,0,0,0,0,0,-3,6,5,3,ANZ - c8aae046-e882-44d9-9a62-47e406a03fb8 - 12 to 84,10.99,652.123089499,,39127.385369951,600,39727.385369951,PandC,1,,,,,150,,0,19/03/2018,19/03/2018,ANZ,d4877aca-0d99-4a56-a0ca-843fb16d3319,ANZ,11.88,14.17,Personal Loan Fixed,Personal Loan Fixed,0,300,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,50000,84,10.99,0,0,5000,12,10.99,0,20,10,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95ae7,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,UNSECURED,,c8aae046-e882-44d9-9a62-47e406a03fb8,c8aae046-e882-44d9-9a62-47e406a03fb8,510045
9.5,False,Auswide Bank - 581ff6cba949c9659bf95af6,Auswide Bank - Used Vehicle Loan,,1,5,0,0,0.5,0,0,0,0,0,-3,5.5,5,3,Auswide Bank - edcbaebe-5b04-4c62-a05a-2a3229fda2bd - 12 to 84,9.5,630.055839291,,37803.350357488,300,38103.350357488,CnotP,1,,,,,175,,0,19/03/2018,19/03/2018,WBCB,b3db38f5-a615-4fcb-b97a-05093f7ac038,Auswide Bank,10.1,,Used Vehicle Loan,Used Vehicle Loan,0,150,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,YES,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,YES,NO,75000,84,9.5,0,0,5000,12,9.5,0,10,5,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95af6,0,"[""Monthly""]",VARIABLE,,SECURED,,edcbaebe-5b04-4c62-a05a-2a3229fda2bd,edcbaebe-5b04-4c62-a05a-2a3229fda2bd,510069
6.99,False,Auswide Bank - 581ff6cba949c9659bf95af8,Auswide Bank - New Vehicle Loan,,1,5,0,0,0.5,0,0,0,0,0,-3,5.5,5,3,Auswide Bank - fe44f1e9-1d34-493e-8f9b-cd44c4af446c - 12 to 84,6.99,593.894425896,,35633.665553778,300,35933.665553778,CnotP,1,,,,,175,,0,19/03/2018,19/03/2018,WBCB,b3db38f5-a615-4fcb-b97a-05093f7ac038,Auswide Bank,7.59,9.29,New Vehicle Loan,New Vehicle Loan,0,150,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,YES,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,NO,NO,75000,84,6.99,0,0,5000,12,6.99,0,10,5,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95af8,0,"[""Monthly""]",VARIABLE,,SECURED,,fe44f1e9-1d34-493e-8f9b-cd44c4af446c,fe44f1e9-1d34-493e-8f9b-cd44c4af446c,510073
10.99,False,Auswide Bank - 581ff6cba949c9659bf95afc,Auswide Bank - Partially Secured Personal Loan,,1,5,0,0,0.5,0,0,0,0,0,-3,5.5,5,3,Auswide Bank - b6569a50-113e-4b0a-a15e-448e5fccf2ac - 12 to 84,10.99,652.123089499,,39127.385369951,300,39427.385369951,PnotC,1,,,,,175,,0,19/03/2018,19/03/2018,WBCB,b3db38f5-a615-4fcb-b97a-05093f7ac038,Auswide Bank,,13.29,Partially Secured Personal Loan,Partially Secured Personal Loan,0,150,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,NO,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,75000,84,10.99,0,0,5000,12,10.99,0,10,5,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95afc,0,"[""Monthly""]",VARIABLE,,SECURED,,b6569a50-113e-4b0a-a15e-448e5fccf2ac,b6569a50-113e-4b0a-a15e-448e5fccf2ac,510081
9.99,False,Auswide Bank - 581ff6cba949c9659bf95afe,Auswide Bank - Personal Loan Other Security,,1,5,0,0,0.5,0,0,0,0,0,-3,5.5,5,3,Auswide Bank - 04017ee5-b8e6-4c6f-b02c-7a5ad8bc9ec7 - 12 to 84,9.99,637.263739137,,38235.824348211,300,38535.824348211,PnotC,1,,,,,175,,0,19/03/2018,19/03/2018,WBCB,b3db38f5-a615-4fcb-b97a-05093f7ac038,Auswide Bank,,12.29,Personal Loan Other Security,Personal Loan Other Security,0,150,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,NO,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,75000,84,9.99,0,0,5000,12,9.99,0,10,5,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95afe,0,"[""Monthly""]",VARIABLE,,SECURED,,04017ee5-b8e6-4c6f-b02c-7a5ad8bc9ec7,04017ee5-b8e6-4c6f-b02c-7a5ad8bc9ec7,510085
7.99,False,Bank of us - 581ff6cba949c9659bf95b00,Bank of us - Secured Used Car Loan (Car 2-7 Years),,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Bank of us - 0b4a8349-4575-4c62-8add-c94ac94b47bf - 6 to 84,7.99,608.148263542,,36488.895812546,600,37088.895812546,CnotP,1,,,,,200,,0,19/03/2018,19/03/2018,BASS,6a7d4b69-d51d-420f-87b5-74270d5216aa,Bank of us,8.97,,Secured Used Car Loan (Car 2-7 Years),Secured Used Car Loan (Car 2-7 Years),0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,NO,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,YES,NO,80000,84,7.99,0,0,3000,6,7.99,0,40,10,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95b00,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,0b4a8349-4575-4c62-8add-c94ac94b47bf,0b4a8349-4575-4c62-8add-c94ac94b47bf,510089
5.22,False,Bank of us - 581ff6cba949c9659bf95b04,Bank of us - Secured Residential Estate Personal Loan,,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Bank of us - 7fc1cb18-b884-481a-810d-ba8ccb3caa73 - 6 to 84,5.22,569.165736185,,34149.944171116,600,34749.944171116,PnotC,1,,,,,200,,0,19/03/2018,19/03/2018,BASS,6a7d4b69-d51d-420f-87b5-74270d5216aa,Bank of us,,8.81,Secured Residential Estate Personal Loan,Secured Residential Estate Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,100000,84,5.22,0,0,3000,6,5.22,0,40,10,Monthly,,0,,,581ff6cba949c96,581ff6cba949c9659bf95b04,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,7fc1cb18-b884-481a-810d-ba8ccb3caa73,7fc1cb18-b884-481a-810d-ba8ccb3caa73,510097
11.89,False,Bank Australia - 581ff6cca949c9659bf95b08,Bank Australia - Lifestyle Personal Loan,,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Bank Australia - a818e94c-9542-4d59-81c5-1fed37b7ca25 - 0 to 120,11.89,665.667030678,,39940.021840687,0,39940.021840687,PnotC,1,,,,,150,,0,19/03/2018,19/03/2018,SIRO,e2ce52e1-ea3c-4a8e-8de3-f38f9bc0028b,Bank Australia,,12.94,Lifestyle Personal Loan,Lifestyle Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,99999999,120,11.89,0,0,1000,0,11.89,0,15,0,Monthly,,0,,,581ff6cca949c96,581ff6cca949c9659bf95b08,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,UNSECURED,,a818e94c-9542-4d59-81c5-1fed37b7ca25,a818e94c-9542-4d59-81c5-1fed37b7ca25,510105
17,False,BankSA - 581ff6cca949c9659bf95b12,BankSA - Get Set Loan,,1,5,0,0,0.5,0,0,3,0,0,0,8.5,5,3,BankSA - e7efba54-02f7-4982-840f-b158f4c4daec - 0 to 999,17,745.577273014,,44734.636380835,720,45454.636380835,PandC,1,,,,,150,,0,19/03/2018,19/03/2018,SBS,b2427bf5-3c07-4762-9d2a-7a0178693ec2,BankSA,17.8,19.92,Get Set Loan,Get Set Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,NO,YES,YES,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,50000,999,17,0,0,5000,0,17,0,9,12,Monthly,,0,,,581ff6cca949c96,581ff6cca949c9659bf95b12,0,"[""Monthly""]",VARIABLE,,UNSECURED,,e7efba54-02f7-4982-840f-b158f4c4daec,e7efba54-02f7-4982-840f-b158f4c4daec,510125
