variationidtemp,Average Rate,Intial_Repayment,balance_outstanding,Repayment,fees,Total_Cost,Flex Points,Cost Score,Flex Score,Total Score
360 Finance - bad4bd19-2845-48fb-b775-65ad044f1594 - 12 to 84,17.395,751.9637638,0,45117.82583,767,45884.82583,6,0.001,3.333333333,1.0007
BankSA - e7efba54-02f7-4982-840f-b158f4c4daec - 0 to 999,17,745.577273,0,44734.63638,870,45604.63638,8.5,0.113072822,4.722222222,1.495817642
Bank of Melbourne - f1fa28f7-acce-480e-83e2-99a14ea5fc55 - 0 to 999,17,745.577273,0,44734.63638,870,45604.63638,8.5,0.113072822,4.722222222,1.495817642
St.George Bank - 486eedf4-6dfc-4d68-8d1b-a278f871ef24 - 0 to 999,17,745.577273,0,44734.63638,870,45604.63638,8.5,0.113072822,4.722222222,1.495817642
Now Finance - ad6f5a28-d273-4e79-b697-bf46339dc173 - 18 to 84,16.45,736.7340899,0,44204.04539,1175,45379.04539,5.5,0.204111973,3.055555556,1.059545048
Bank of Melbourne - 14a0074f-b898-4692-a344-a5b604cfa9ea - 12 to 84,16.49,737.3752861,0,44242.51717,915,45157.51717,9,0.293511564,5,1.705458095
BankSA - a36813bb-ffd1-4ac5-834d-e67c111c7a64 - 12 to 84,16.49,737.3752861,0,44242.51717,915,45157.51717,9,0.293511564,5,1.705458095
St.George Bank - 73c52acd-b0ab-4e34-878e-49918375b9b6 - 12 to 84,16.49,737.3752861,0,44242.51717,915,45157.51717,9,0.293511564,5,1.705458095
SERVICE ONE Alliance Bank - a7b6edeb-c318-412a-9c78-49038fa6f32b - 0 to 999,16.5,737.5356329,0,44252.13797,650,44902.13797,1,0.396571998,0.555555556,0.444267065
G&C Mutual Bank - 0d8b921d-4229-4d86-b748-e8c6a2190966 - 0 to 84,16.99,745.415974,0,44724.95844,150,44874.95844,9,0.407540529,5,1.78527837
ANZ - c9c5ce0f-50b7-413b-a278-afba694d554a - 12 to 84,15.99,729.3823234,0,43762.9394,750,44512.9394,9,0.553636374,5,1.887545462
Commonwealth Bank of Australia - 006a040b-b4ab-4cab-a5ae-95f913fc7a32 - 0 to 84,15.9,727.9486753,0,43676.92052,750,44426.92052,9,0.588350022,5,1.911845015
NAB - 935354b6-810d-46aa-8221-469c7f55f4db - 12 to 84,15.69,724.6095444,0,43476.57267,750,44226.57267,9,0.669202093,5,1.968441465
Regional Australia Bank - 1d0e8933-13ec-4516-97a8-cb92a61456ff - 0 to 84,15.99,729.3823234,0,43762.9394,195,43957.9394,9,0.77761132,5,2.044327924
Now Finance - ad6f5a28-d273-4e79-b697-bf46339dc173 - 18 to 84,14.95,712.910776,0,42774.64656,1175,43949.64656,5.5,0.780957966,3.055555556,1.463337243
