productname,variationname,companyname,homeloantype,mintotalloanamount,maxlvr,minlvr,fixmonth,allowssplitloan,hasoffsetaccount,isfirsthomebuyersavailable,requiresfirsthomebuyers,hasowneroccupiedpurpose,hasinvestmentpurpose,hasprincipalandinterest,hasinterestonly,minloanterm,maxloanterm,hasweeklyrepayments,hasfortnightlyrepayments,hasmonthlyrepayments,isnewcustomer,labels
Ultimate Fixed Home Loan (New Customer),"Ultimate Fixed Home Loan 3 Years (New Customers) (NSW, ACT & QLD only)",Greater Bank,FIXED,150000.0,85.0,0.0,36.0,True,False,True,False,True,False,True,False,0,30,True,True,True,True,2
Ultimate Fixed Home Loan (New Customer),"Ultimate Fixed Home Loan 2 Years (New Customers) (NSW, ACT & QLD only)",Greater Bank,FIXED,150000.0,85.0,0.0,24.0,True,False,True,False,True,False,True,False,0,30,True,True,True,True,2
Ultimate Fixed Home Loan (New Customer),"Ultimate Fixed Home Loan 1 Year (New Customers) (NSW, ACT & QLD only)",Greater Bank,FIXED,150000.0,85.0,0.0,12.0,True,False,True,False,True,False,True,False,0,30,True,True,True,True,2
Great Rate Fixed Home Loan (New Customer),"Great Rate Fixed Home Loan 4 Years (New Customers) (NSW, ACT & QLD only) ",Greater Bank,FIXED,150000.0,85.0,0.0,48.0,True,False,True,False,True,False,True,False,0,30,True,True,True,True,2
Great Rate Fixed Home Loan (New Customer),"Great Rate Fixed Home Loan 2 Years (New Customers) (NSW, ACT & QLD only) ",Greater Bank,FIXED,150000.0,85.0,0.0,24.0,True,False,True,False,True,False,True,False,0,30,True,True,True,True,2
Great Rate Fixed Home Loan (New Customer),"Great Rate Fixed Home Loan 5 Years (New Customers) (NSW, ACT & QLD only) ",Greater Bank,FIXED,150000.0,85.0,0.0,60.0,True,False,True,False,True,False,True,False,0,30,True,True,True,True,2
Line of Credit,"Line of Credit (NSW, ACT & QLD only)",Greater Bank,VARIABLE,40000.0,90.0,0.0,nan,True,False,True,False,True,True,False,True,0,30,True,True,True,False,0
Ultimate Fixed Investment Loan (Principal and Interest),"Ultimate Fixed Investment Loan (Principal and Interest) 2 Years (NSW, ACT & QLD only)",Greater Bank,FIXED,40000.0,90.0,0.0,24.0,True,False,True,False,False,True,True,False,0,30,True,True,True,False,5
Ultimate Fixed Investment Loan (Principal and Interest),"Ultimate Fixed Investment Loan (Principal and Interest) 4 Years (NSW, ACT & QLD only)",Greater Bank,FIXED,40000.0,90.0,0.0,48.0,True,False,True,False,False,True,True,False,0,30,True,True,True,False,5
Ultimate Variable Investment Loan (Principal and Interest),"Ultimate Variable Investment Loan (Principal and Interest) (NSW, ACT & QLD only)",Greater Bank,VARIABLE,40000.0,90.0,0.0,nan,True,True,True,False,False,True,True,False,0,30,True,True,True,False,1
