url,popularSearchtitle,Category,header,tagline,title,resultName,description,keywords,canonical,vertical,category,variant,userJourneyStage,faq_type,faq_url,og.title,og.description,og.type,og.siteName,og.image,og.id,twitter.card,twitter.site,twitter.title,twitter.description,twitter.creator,twitter.image,google.title,google.dexcription,google.image,textContent,textSummary,searchVolume MONTHLY,Transactions,GA sessions,SC Clicks,SC Impressions,Transactions_e,SC Clicks_e,GA sessions_e,SC Impressions_e,searchVolume MONTHLY_e,sorting_columns,Rank
/bank-accounts/android-pay, android pay bank accounts,by feature,Compare Bank Accounts,Compare android pay,Compare %productCount%+ Bank Accounts Deals | RateCity.com.au,android pay,"Find Android Pay at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",Android Pay,//www.ratecity.com.au/bank-accounts/android-pay,bank-accounts,,Search,,,,Android Pay - RateCity.com.au,"Find Android Pay at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,Android Pay - RateCity.com.au,"Find Android Pay at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,,5,0,0,0,1,0.5,0.15,0.15,0.1,0.1,0.6,563.5
/bank-accounts/apple-pay, apple pay bank accounts,by feature,Compare Bank Accounts,Compare apple pay,Compare %productCount%+ Bank Accounts Deals | RateCity.com.au,apple pay,"Find Apple Pay at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",Apple Pay,//www.ratecity.com.au/bank-accounts/apple-pay,bank-accounts,,Search,,,,Apple Pay - RateCity.com.au,"Find Apple Pay at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,Apple Pay - RateCity.com.au,"Find Apple Pay at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,,5,0,0,2,44,0.5,0.15,0.15,0.1,0.1,5.2,409.5
/bank-accounts/australia,    australia bank accounts,by region,Compare Bank Accounts,Compare australian bank accounts,Compare %productCount%+ Bank Accounts Deals | RateCity.com.au,australian bank accounts,"Find Australian Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",Australian Bank Accounts,//www.ratecity.com.au/bank-accounts/australia,bank-accounts,,Search,,,,Australian Bank Accounts - RateCity.com.au,"Find Australian Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,Australian Bank Accounts - RateCity.com.au,"Find Australian Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,,210,0,0,0,73,0.5,0.15,0.15,0.1,0.1,28.3,309.0
/bank-accounts/baby,    baby bank accounts,popular searches,Compare Bank Accounts,Compare baby bank accounts,Compare %productCount%+ Bank Accounts Deals | RateCity.com.au,baby bank accounts,"Find Baby Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",Baby Bank Accounts,//www.ratecity.com.au/bank-accounts/baby,bank-accounts,,Search,,,,Baby Bank Accounts - RateCity.com.au,"Find Baby Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,Baby Bank Accounts - RateCity.com.au,"Find Baby Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,,5,0,0,0,64,0.5,0.15,0.15,0.1,0.1,6.9,397.0
/bank-accounts/best,    best bank accounts,popular searches,Compare Bank Accounts,Compare best bank / transaction / everyday accounts,Best bank accounts,best bank / transaction / everyday accounts,"Find Best Bank Transaction Everyday Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",Best Bank Transaction Everyday Accounts,//www.ratecity.com.au/bank-accounts/best,bank-accounts,"[""Bank Accounts - canned search"",""/bank-accounts/best""]",Search,,,,Best Bank Transaction Everyday Accounts - RateCity.com.au,"Find Best Bank Transaction Everyday Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,Best Bank Transaction Everyday Accounts - RateCity.com.au,"Find Best Bank Transaction Everyday Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,"<p>A bank account, or everyday account, can help you manage your money easily and conveniently.</p>\n<p>Discovering the best bank accounts for you is a matter of lifestyle and preference.</p>\n<p>After you find the perfect account, you&rsquo;ll be able to make purchases, withdraw cash and make transfers whenever you please.</p>\n<h3>What is a bank account?</h3>\n<p>A bank account is an account opened with a bank that allows you to deposit funds, withdraw cash and pay bills. Sometimes, these are referred to as &lsquo;everyday accounts&rsquo;, because they can be used to aid you in your everyday spending, from your morning coffee to your mortgage payment.</p>\n<p>Often, a bank account will send you a debit card that can be used to withdraw cash at ATMs or pay for everyday expenses. While many people choose to have their salary paid automatically into their bank account, you can also deposit money manually if you choose.</p>\n<h3>What are the benefits of opening a bank account?</h3>\n<p>The biggest benefit to opening a bank or transaction account is that it provides you with a safe space to store your money for convenient use. It gives you a place to deposit new funds and also helps you easily pay for your purchases.</p>\n<p>Transaction accounts are also helpful in tracking your spending. Many bank accounts allow you to view all of your recent purchases, so it&rsquo;s easy to see where your money has been going. If you&rsquo;re someone who tends to spend as much or more than they earn, a bank account can help you see exactly what you&rsquo;re buying to help you manage your funds more carefully.</p>\n<h3>When should you open a bank account?</h3>\n<p>There&rsquo;s no right or wrong time to open a bank account. Many parents choose to open <a target=""_blank"" href=""http://www.ratecity.com.au/savings-accounts/childrens"">children&rsquo;s savings account</a> for their little ones, but the right time to open a transaction account may be when you begin to make an income or are responsible for your own spending.</p>\n<p>If you&rsquo;re looking for a way to manage your money that&rsquo;s convenient and helps you with your daily spending, then it might be time to open a bank account. With your bank account, you&rsquo;ll be able to spend, deposit and withdraw as you please.</p>\n<h3>Can you open a bank account online?</h3>\n<p>Many banks allow customers to apply for a bank account entirely online. Typically, you&rsquo;ll be required to submit forms of ID as well as personal details, so be sure you have access to a document scanner. You may also be asked to sign an application that is posted to you or which you&rsquo;ve printed. After you&rsquo;ve signed the document, it should be taken to a branch of your chosen bank.</p>\n<p>Online applications vary from bank to bank, so be sure to pay special attention to your bank&rsquo;s instructions as you apply.</p>\n<h3>Do bank accounts charge fees?</h3>\n<p>You&rsquo;ll find that most transaction accounts have some associated fees. These may be as small as an ATM fee that only applies when using non-affiliated ATMs, but there are other fees you should look out for. Some transaction accounts may charge a monthly fee. If you&rsquo;re looking for a low-fee account, it may be best to avoid accounts with monthly fees.</p>\n<p>Other fees may include branch withdrawal fees or cheque deposit fees. Before choosing a bank account, make sure that the fees are suited to your lifestyle.</p>\n<h3>What should you look for when choosing a bank account?</h3>\n<p>While bank accounts usually function similarly, there are differences between bank accounts. Finding the best bank account for you is a matter of your lifestyle and spending habits.</p>\n<p>One thing to consider when choosing a bank account is how convenient it is to withdraw money. Does this bank have ATMs near your home? Would it be convenient for you to seek out an ATM or bank branch for withdrawing cash?</p>\n<p>Knowing how and where you can get cash out could help you find the best bank accounts for your daily life.</p>\n<p>Another aspect to consider is online access. If you would rather deal with your finances online rather than inside a bank branch, then you might look for a transaction account that allows you online access. Many banks have mobile apps that allow you to view transactions, check your balance and transfer money to other accounts.</p>\n<p>You should also be aware of any fees that your chosen transaction account charges. You may think that the best bank accounts have zero fees, but most transaction accounts with have small fees attached. Some bank accounts charge a monthly fee for the convenience of having an account; others may charge a withdrawal fee or cheque deposit fee. Some accounts also charge for paper statements, so you can save a little money by opting for online statements only.</p>",,320,1,44,1,151,0.5,0.15,0.15,0.1,0.1,54.35,264.0
/bank-accounts/best-children,    best children bank accounts,popular searches,Compare Bank Accounts,Compare best children's bank account australia,Compare %productCount%+ Bank Accounts Deals | RateCity.com.au,best children's bank account australia,"Find Best Childrens Bank Account Australia at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",Best Childrens Bank Account Australia,//www.ratecity.com.au/bank-accounts/best-children,bank-accounts,,Search,,,,Best Childrens Bank Account Australia - RateCity.com.au,"Find Best Childrens Bank Account Australia at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,Best Childrens Bank Account Australia - RateCity.com.au,"Find Best Childrens Bank Account Australia at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,,5,0,0,0,58,0.5,0.15,0.15,0.1,0.1,6.300000000000001,402.0
/bank-accounts/best-kids,    best kids bank accounts,popular searches,Compare Bank Accounts,Compare best kids bank account,Compare %productCount%+ Bank Accounts Deals | RateCity.com.au,best kids bank account,"Find Best Kids Bank Account at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",Best Kids Bank Account,//www.ratecity.com.au/bank-accounts/best-kids,bank-accounts,,Search,,,,Best Kids Bank Account - RateCity.com.au,"Find Best Kids Bank Account at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,Best Kids Bank Account - RateCity.com.au,"Find Best Kids Bank Account at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,,1000,0,0,0,254,0.5,0.15,0.15,0.1,0.1,125.4,207.0
/bank-accounts/cheap,    cheap bank accounts,popular searches,Compare Bank Accounts,Compare cheap bank accounts,Compare %productCount%+ Bank Accounts Deals | RateCity.com.au,cheap bank accounts,"Find Cheap Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",Cheap Bank Accounts,//www.ratecity.com.au/bank-accounts/cheap,bank-accounts,,Search,,,,Cheap Bank Accounts - RateCity.com.au,"Find Cheap Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,Cheap Bank Accounts - RateCity.com.au,"Find Cheap Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,,20,0,0,0,0,0.5,0.15,0.15,0.1,0.1,2.0,473.5
/bank-accounts/cheapest,    cheapest bank accounts,popular searches,Compare Bank Accounts,Compare cheapest bank accounts,Cheapest bank accounts,cheapest bank accounts,"Find Cheapest Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",Cheapest Bank Accounts,//www.ratecity.com.au/bank-accounts/cheapest,bank-accounts,"[""Bank Accounts - canned search"",""/bank-accounts/cheapest""]",Search,,,,Cheapest Bank Accounts - RateCity.com.au,"Find Cheapest Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,Cheapest Bank Accounts - RateCity.com.au,"Find Cheapest Bank Accounts at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,"<p><span>Most people don&rsquo;t put a lot of thought into their everyday bank account. That is a shame, because comparing the cheapest bank accounts can be a handy way to find a bank account which minimises unnecessary fees and charges, while qualifying for a range of perks and extras. </span></p>\n<p><span>We&rsquo;re going to look at the different types of everyday transaction accounts available, what distinguishes these bank accounts from other options and the sort of things you should be looking for when comparing bank accounts. </span></p>\n<h3>What type of bank accounts are available?</h3>\n<ul>\n<li><strong><span>Transaction accounts &ndash;</span></strong><span> These bank accounts are designed to make meeting day-to-day expenses easy. Transaction accounts are set up to make it easy for people to receive their pay, take out cash and pay any bills that have arrived. While these bank accounts are highly accessible, they generally don&rsquo;t offer a great interest rate return and sometimes have numerous bank account fees and charges that the account holder should be wary of. </span></li>\n<li><strong><span>Savings accounts &ndash;</span></strong><span> On the other end of the spectrum you&rsquo;ve got savings accounts, which are designed to give people a place where they can put their money and make it grow faster. Savings accounts typically offer a superior interest rate to regular transaction accounts, and some have measures in place that make it harder to access your money, theoretically making it easier to set your funds aside and save. </span></li>\n<li><strong><span>Joint bank accounts &ndash;</span></strong><span> This is a bank account that has two names on it, and is an account that is generally opened by people in a relationship. There are advantages to opening joint bank accounts, like lowering account fees, but there are also inherent risks involved.</span></li>\n</ul>\n<h3>What are the advantages of a transaction account?</h3>\n<p><span>When you&rsquo;re testing the market, and comparing the cheapest bank accounts to find the best option, it&rsquo;s useful to be aware of the advantages an everyday transaction account offers for users. </span></p>\n<ul>\n<li><strong><span>Easy-to-use and accessible &ndash;</span></strong><span> Perhaps the chief advantage of an everyday transaction account is the fact that it&rsquo;s easy to use, and highly accessible. If you&rsquo;ve got a bill to pay or need a place where you can receive your wages, a regular transaction account generally gets the job done, making it easy to manage your money and meet day-to-day expenses. </span></li>\n<li><strong><span>They&rsquo;re often free to open &ndash;</span></strong><span> Rules change from provider to provider, but most everyday bank accounts are free to open. This allows you to get started with your new bank account, without having to worry about being slugged with fees straight off the bat. </span></li>\n<li><strong><span>No lock-in period &ndash;</span></strong><span> Most people don&rsquo;t shop around for the cheapest bank account, but it&rsquo;s easier than you might think. Many institutions offer bank accounts with no lock-in periods, which can be useful for people looking to shop around for a better deal. </span></li>\n<li><strong><span>Your money is safe &ndash;</span></strong><span> A bank account is one of the safest places to keep your money. Should the unthinkable happen and the financial institution you&rsquo;re banking with somehow goes bust, the Australian government will guarantee your savings account balance up to the value of $250,000, which can provide some peace of mind in times of volatility.</span></li>\n</ul>\n<h3>What are the disadvantages of a transaction account?</h3>\n<p><span>When you&rsquo;re comparing the cheapest bank accounts and looking to find the right one for your situation, it&rsquo;s equally as important to be aware of the disadvantages of a transaction account. </span></p>\n<ul>\n<li><strong><span>Interest rates are variable &ndash;</span></strong><span> While they take some guidance from the Reserve Bank of Australia (RBA), banks and financial institutions are free to change their interest rates whenever they like. This could cause problems for people who want a bank account that can give them the potential to grow their money, while managing their day-to-day expenses. </span></li>\n<li><strong><span>Interest rates are lower than savings accounts &ndash;</span></strong><span> What&rsquo;s also true is that interest rates offered by traditional transaction accounts are generally lower than those offered by savings accounts. So even if you have found the cheapest bank account available, that doesn&rsquo;t necessarily mean you&rsquo;re in a good position to grow and expand your wealth. </span></li>\n<li><strong><span>Paying multiple fees &ndash;</span></strong><span> Another one of the main sticking points that comes with people opening transaction bank accounts is the fees payable. While the nature and amount of these fees vary from provider to provider, bank account holders can often lose a significant portion of their savings paying fees that in some cases they&rsquo;re not even aware of. </span></li>\n<li><strong><span>Temptation to spend &ndash;</span></strong><span> Having money that&rsquo;s easily accessible is convenient, but it can also be very tempting. The ease with which transaction bank account holders can access their funds can sometimes result in people making unnecessary discretionary purchases, which over the course of time can make it more difficult for savers to meet their long-term financial goals. </span></li>\n</ul>\n<h3>What sort of fees will I have to pay with a transaction account?</h3>\n<p><span>If you&rsquo;re comparing the market, and looking to find the cheapest banking account in Australia, it&rsquo;s important to be wary of the sort of fees these bank accounts commonly put upon customers:</span></p>\n<ul>\n<li><strong><span>Monthly account-keeping fees &ndash;</span></strong><span> These are fees charged by your bank or financial institution that are designed to cover the day-to-day administration and upkeep of your account.</span></li>\n<li><strong><span>Phone banking fees &ndash;</span></strong><span> If you&rsquo;re someone who likes to bank over the phone, your use of this banking feature might incur an additional level of fee from your provider. </span></li>\n<li><strong><span>Internet banking fees &ndash;</span></strong><span> By the same token, if you&rsquo;re undertaking internet banking, you may be incurring additional charges from your bank or financial institute. </span></li>\n<li><strong><span>Overdraft charges &ndash;</span></strong><span> Some banks and financial institutions will penalise account holders for overdrawing on their bank account balance. It&rsquo;s always important to be aware of your bank&rsquo;s policy on overdrafts, and whether they impose additional charges when this occurs.</span></li>\n<li><strong><span>Transaction fees &ndash;</span></strong><span> Depending on your provider and the nature of the transaction you wish to undertake, you may also incur separate transaction fees you have to pay. Again, it&rsquo;s important to be aware of your bank&rsquo;s policy when comparing bank accounts. </span></li>\n</ul>\n<h3>What should I look for when choosing a transaction account?</h3>\n<p><span>When you&rsquo;re comparing cheapest bank accounts in Australia and looking for the right one that fits your situation, it&rsquo;s important to consider the following aspects and traits. </span></p>\n<ul>\n<li><strong><span>Are the fees low? </span></strong><span>Bank accounts with low fees generally ensure that the bank account holder has more money at the end of the day. Make sure you compare bank accounts by fees, to make sure you&rsquo;re not needlessly digging into the money you&rsquo;ve saved to cover unnecessary charges. </span></li>\n<li><strong><span>Does your bank have minimum and maximum account balances?</span></strong><span> Be wary if your bank imposes charges for going under or over any minimum or maximum balances. </span></li>\n<li><strong><span>What sort of access does it offer?</span></strong><span> When comparing transaction accounts, it&rsquo;s important to be aware of the different levels of access offered, to make sure you&rsquo;ve got the right bank account to meet your day-to-day expenses, while keeping your funds safe.</span></li>\n</ul>",,20,2,0,0,0,0.5,0.15,0.15,0.1,0.1,3.0,453.0
/bank-accounts/cheque,    cheque bank accounts,by feature,Compare Bank Accounts,Compare cheque books,Compare %productCount%+ Bank Accounts Deals | RateCity.com.au,cheque books,"Find Cheque Books at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",Cheque Books,//www.ratecity.com.au/bank-accounts/cheque,bank-accounts,,Search,,,,Cheque Books - RateCity.com.au,"Find Cheque Books at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,Cheque Books - RateCity.com.au,"Find Cheque Books at RateCity and compare over %productCount% Bank Accounts. View all product details, interest rates and fees to find the Bank Accounts that suits your needs at RateCity",,,,,,,,5,0,0,0,15,0.5,0.15,0.15,0.1,0.1,2.0,473.5
